እከክ,የቆዳ_ሽፍታ,ኖዳል_ቆዳ_ፍንዳታዎች,የማያቋርጥ_ማስነጠስ,መንቀጥቀጥ,ብርድ ብርድ ማለት,የመገጣጠሚያ_ህመም,የሆድ_ህመም,አሲድነት,በምላስ_ላይ_ቁስል,ጡንቻ_ማባከን,ማስታወክ,ሚኪቱሪሽን ማቃጠል,ነጠብጣብ_ሽንት,ድካም,ክብደት_መጨመር,ጭንቀት,ቀዝቃዛ_እጅ_እና_እግር,የስሜት_መለዋወጥ,ክብደት_መቀነስ,እረፍት ማጣት,ግድየለሽነት,በጉሮሮ ውስጥ_ጥፍሮች,መደበኛ ያልሆነ_የስኳር_ደረጃ,ሳል,ከፍተኛ_ትኩሳት,የደነቆረ_አይኖች,ትንፋሽ ማጣት,ማላብ,ድርቀት,የምግብ አለመፈጨት ችግር,ራስ ምታት,ቢጫ_ቆዳ,ጨለማ_ሽንት,ማቅለሽለሽ,የምግብ ፍላጎት_ማጣት,ከዓይን_ጀርባ_ህመም,የጀርባ_ህመም,የሆድ ድርቀት,የሆድ_ህመም,ተቅማጥ,መለስተኛ_ትኩሳት,ቢጫ_ሽንት,የዓይን_ቢጫ_መቅላት,አጣዳፊ_የጉበት_ሽንፈት,ፈሳሽ_ከመጠን በላይ መጫን,የሆድ_እብጠት,ያበጡ_ሊምፍ ኖዶች,ማዘን,የደበዘዘ_እና_የተዛባ_ዕይታ,አክታ,የጉሮሮ_ብስጭት,የአይን_መቅላት,sinus_ግፊት,ንፍጥ_አፍንጫ,መጨናነቅ,የደረት_ህመም,በእግሮች ውስጥ_ደካማነት,ፈጣን_የልብ_ምት,በአንጀት_እንቅስቃሴ_ጊዜ_ህመም,pain_in_anal_region,ደም የተሞላ_ሰገራ,በፊንጢጣ ውስጥ መበሳጨት,የአንገት_ህመም,መፍዘዝ,ቁርጠት,መሰባበር,ከመጠን ያለፈ ውፍረት,እብጠት_እግር,ያበጡ_የደም_ዕቃዎች,የታፋ_ፊት_እና_አይኖች,ታይሮይድ,ተሰባሪ_ጥፍሮች,ያበጡ_እጅግ,ከመጠን በላይ_ረሃብ,ከጋብቻ ውጪ ያሉ እውቂያዎች,ማድረቅ_እና_ከንፈሮችን_መኮረጅ,የተሳሳተ_ንግግር,የጉልበት_ህመም,hip_የመገጣጠሚያ_ህመም,የጡንቻ_ደካማነት,አንገተ ደንዳና,እብጠት_መገጣጠሚያዎች,የእንቅስቃሴ_ግትርነት,የሚሽከረከር_እንቅስቃሴዎች,ሚዛን_ማጣት,አለመረጋጋት,የአንድ_አካል_ጎን_ደካማነት,ማሽተት_ማጣት,የፊኛ ምቾት ማጣት,የሽንት መጥፎ ሽታ,የማያቋርጥ_የሽንት_ስሜት,የጋዞች_መተላለፊያ,ውስጣዊ_እከክ,መርዛማ_መልክ_(ታይፎስ),የመንፈስ ጭንቀት,ብስጭት,የጡንቻ_ህመም,ተቀይሯል_sensorium,ቀይ_ቦታዎች_በአካል_ላይ,የሆድ_ህመም,ያልተለመደ_ወር አበባ,dischromic _patches,ከዓይን_ማጠጣት, የምግብ ፍላጎት መጨመር,ፖሊዩሪያ,የቤተሰብ_ታሪክ,mucoid_sputum,ዝገት_አክታ,የማተኮር_ማጣት,የእይታ_ረብሻዎች,ደም_መውሰድ_መቀበል,የማይጸዳ_መርፌ መቀበል,ኮማ,የሆድ_መድማት,የሆድ_መረበሽ,የአልኮል_ፍጆታ_ታሪክ,ፈሳሽ_ከመጠን በላይ መጫን,ደም_በአክታ,በጥጃው_ላይ የታወቁ_ጅማቶች,የልብ ምቶች,የሚያሰቃይ_መራመድ,መግል_የተሞላ_ብጉር,ጥቁር ነጠብጣቦች,የሚንቀጠቀጡ,የቆዳ_መፋቅ,ብር_የሚመስል_አቧራ,በምስማር_ውስጥ_ትንንሽ_ጥርሶች,የሚያቃጥሉ_ጥፍሮች,አረፋ,በአፍንጫ_ዙሪያ_ቀይ_ቁስል,ቢጫ_ቅርፊት_አዝ,prognosis
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,የፈንገስ ኢንፌክሽን
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,የፈንገስ ኢንፌክሽን
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,የፈንገስ ኢንፌክሽን
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,የፈንገስ ኢንፌክሽን
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,የፈንገስ ኢንፌክሽን
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,የፈንገስ ኢንፌክሽን
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,የፈንገስ ኢንፌክሽን
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,የፈንገስ ኢንፌክሽን
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,የፈንገስ ኢንፌክሽን
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,የፈንገስ ኢንፌክሽን
